step,tag
0,phase_start,1,Walker2d-v4,80000
6252,reward,1,Walker2d-v4,4.566057621000812,1.495
6281,reward,1,Walker2d-v4,-2.743190227892392,1.254
6313,reward,1,Walker2d-v4,-0.4890938988352669,1.097
6326,reward,1,Walker2d-v4,3.8152534369746256,1.815
6335,reward,1,Walker2d-v4,0.402625062906689,1.452
6347,reward,1,Walker2d-v4,2.136241546500038,1.119
6364,reward,1,Walker2d-v4,-11.333894403903798,0.221
6390,reward,1,Walker2d-v4,-9.644771090142088,-1.235
6410,reward,1,Walker2d-v4,5.6972380429870935,0.294
6435,reward,1,Walker2d-v4,-5.892375586126768,-1.349
6469,reward,1,Walker2d-v4,1.2593517851258784,-1.679
6517,reward,1,Walker2d-v4,13.09115972227106,-0.096
6541,reward,1,Walker2d-v4,-4.312736448265056,-0.478
6563,reward,1,Walker2d-v4,6.618044780985331,-0.198
6608,reward,1,Walker2d-v4,5.01582338844179,0.263
6642,reward,1,Walker2d-v4,-3.861786858153501,-0.336
6701,reward,1,Walker2d-v4,23.752950985707827,3.172
6735,reward,1,Walker2d-v4,5.503212439896945,4.687
6779,reward,1,Walker2d-v4,17.189759423868765,5.836
6849,reward,1,Walker2d-v4,-7.341193873712838,5.691
6960,reward,1,Walker2d-v4,85.07119749285637,14.073
6987,reward,1,Walker2d-v4,-0.17431161265627226,12.746
6996,reward,1,Walker2d-v4,-1.222718850332206,13.055
7035,reward,1,Walker2d-v4,34.42691357313679,15.836
7055,reward,1,Walker2d-v4,7.219053030331447,16.056
7067,reward,1,Walker2d-v4,-0.6494495579486526,16.378
7090,reward,1,Walker2d-v4,-6.434113683274821,13.359
7116,reward,1,Walker2d-v4,-1.0317238127231487,12.705
7139,reward,1,Walker2d-v4,-1.034714079813536,10.883
7190,reward,1,Walker2d-v4,0.32682919240079955,11.65
7220,reward,1,Walker2d-v4,7.659706993320601,3.909
7246,reward,1,Walker2d-v4,12.006926753690214,5.127
7262,reward,1,Walker2d-v4,-0.3815296965864896,5.211
7273,reward,1,Walker2d-v4,-3.323878227965103,1.436
7301,reward,1,Walker2d-v4,-3.0855668846611177,0.405
7341,reward,1,Walker2d-v4,-3.8920642750111596,0.081
7358,reward,1,Walker2d-v4,4.402630654019335,1.165
7379,reward,1,Walker2d-v4,-4.837767444782692,0.784
7396,reward,1,Walker2d-v4,-4.5429354148044725,0.433
7429,reward,1,Walker2d-v4,22.295214232487467,2.63
7448,reward,1,Walker2d-v4,3.178599680321892,2.182
7484,reward,1,Walker2d-v4,0.8391779670145332,1.065
