step,tag,episode,reward,avg10,algo,env,seed
6749,reward,343,14.341611610038358,1.382,PPO,Walker2d-v4,0
6769,reward,344,-2.498324606144763,1.38,PPO,Walker2d-v4,0
6784,reward,345,-7.502499191592745,0.858,PPO,Walker2d-v4,0
6798,reward,346,-6.2126383600969834,0.352,PPO,Walker2d-v4,0
6810,reward,347,-4.83348627715201,-0.421,PPO,Walker2d-v4,0
6827,reward,348,3.1105320418973452,0.49,PPO,Walker2d-v4,0
6843,reward,349,2.6724833559445047,0.912,PPO,Walker2d-v4,0
6854,reward,350,0.10237616873278088,-0.376,PPO,Walker2d-v4,0
6874,reward,351,-5.723773882271503,-0.813,PPO,Walker2d-v4,0
6887,reward,352,0.9137625369845688,-0.563,PPO,Walker2d-v4,0
6915,reward,353,10.822107061978684,-0.915,PPO,Walker2d-v4,0
6940,reward,354,10.115839525616487,0.346,PPO,Walker2d-v4,0
6958,reward,355,2.5636439028408664,1.353,PPO,Walker2d-v4,0
6990,reward,356,5.377926357181545,2.512,PPO,Walker2d-v4,0
7043,reward,357,11.222707291132982,4.118,PPO,Walker2d-v4,0
7061,reward,358,-10.151546420072078,2.792,PPO,Walker2d-v4,0
7074,reward,359,2.4897267527609577,2.773,PPO,Walker2d-v4,0
7105,reward,360,-0.5075032491749338,2.712,PPO,Walker2d-v4,0
7129,reward,361,1.873191687693589,3.472,PPO,Walker2d-v4,0
7144,reward,362,-0.8486118206697786,3.296,PPO,Walker2d-v4,0
7153,reward,363,0.15683365483980705,2.229,PPO,Walker2d-v4,0
7182,reward,364,4.605107273706916,1.678,PPO,Walker2d-v4,0
7214,reward,365,0.9305052941705143,1.515,PPO,Walker2d-v4,0
7231,reward,366,4.179792450786474,1.395,PPO,Walker2d-v4,0
7240,reward,367,-0.03279750365040757,0.269,PPO,Walker2d-v4,0
7295,reward,368,12.479402182015754,2.533,PPO,Walker2d-v4,0
7313,reward,369,3.0146420215727057,2.585,PPO,Walker2d-v4,0
7340,reward,370,-6.598518672789996,1.976,PPO,Walker2d-v4,0
7357,reward,371,-2.457673586073574,1.543,PPO,Walker2d-v4,0
7413,reward,372,2.6197750869775085,1.89,PPO,Walker2d-v4,0
7425,reward,373,-4.372780706648005,1.437,PPO,Walker2d-v4,0
7438,reward,374,2.006821548456485,1.177,PPO,Walker2d-v4,0
7450,reward,375,-3.332647167822757,0.751,PPO,Walker2d-v4,0
7461,reward,376,-2.146000838176759,0.118,PPO,Walker2d-v4,0
7473,reward,377,-0.10096797054371476,0.111,PPO,Walker2d-v4,0
7496,reward,378,-1.4950053688227043,-1.286,PPO,Walker2d-v4,0
7536,reward,379,4.078511574068607,-1.18,PPO,Walker2d-v4,0
7553,reward,380,-4.636675844432723,-0.984,PPO,Walker2d-v4,0
7564,reward,381,-0.8568661960240638,-0.824,PPO,Walker2d-v4,0
7606,reward,382,13.152119205099003,0.23,PPO,Walker2d-v4,0
7645,reward,383,11.599682410789578,1.827,PPO,Walker2d-v4,0
